,F_value,pvalue,value_counts,subsystem,name,alleles_sim,genes,reaction
MYCON5,2.0630403571409306,0.15297736604972562,"[(5.8607235731145124e-09, 34), (5.863434182629135e-09, 7), (5.8715016182375734e-09, 6), (3.1271651934616784e-12, 6), (5.860760765585837e-09, 5), (5.86075998842972e-09, 4), (7.509556421148034e-09, 3), (1.0, 3), (8.08885136649451e-09, 3), (5.858648788326093e-09, 2), (2.7248203693375217e-12, 2), (6.8666752284229915e-09, 2), (7.4459709509255845e-09, 2), (5.862680008128507e-09, 2), (6.866674451266874e-09, 2), (5.860758989228998e-09, 2), (3.3724134596013755e-12, 1), (5.8631995925040314e-09, 1), (5.858223239840754e-09, 1), (2.7428059823364492e-12, 1), (7.509555643991916e-09, 1), (5.863339147538227e-09, 1), (7.4454568066428806e-09, 1), (6.86673196081955e-09, 1), (8.090195957599633e-09, 1), (2.7443602945709245e-12, 1), (5.8586263618209955e-09, 1), (5.867217822697057e-09, 1), (5.862761831565422e-09, 1), (5.862511365251066e-09, 1), (5.660015567343635e-09, 1), (5.8625123644517885e-09, 1), (5.870979147282185e-09, 1), (5.8607128039511736e-09, 1), (6.89794876773675e-09, 1), (5.863453611532066e-09, 1), (5.86072257391379e-09, 1), (7.662128820307146e-09, 1), (5.8648241818559654e-09, 1), (5.863431629116178e-09, 1), (5.863198815347914e-09, 1), (0.0, 1), (5.858624807508761e-09, 1), (7.445969951724862e-09, 1), (6.866041180053628e-09, 1), (7.611411945163127e-09, 1), (5.860236851340517e-09, 1), (5.862585861216019e-09, 1), (7.436449567244097e-09, 1), (5.86216841735876e-09, 1), (5.860555596370887e-09, 1), (5.860751994823943e-09, 1), (5.86200521457414e-09, 1), (7.681936753378693e-09, 1), (5.863454610732788e-09, 1), (6.834430799074198e-09, 1), (5.871473196528143e-09, 1), (5.860720797556951e-09, 1), (3.128164394183841e-12, 1), (7.611410168806287e-09, 1), (5.8715086126426286e-09, 1), (6.931930585096779e-09, 1), (5.847372364087278e-09, 1), (6.866665569482677e-09, 1), (6.8675873876600235e-09, 1), (5.850200435197905e-09, 1), (7.510709387759107e-09, 1), (5.843431627461371e-09, 1), (2.804090293295758e-12, 1), (5.87068360591303e-09, 1), (5.863195151611933e-09, 1), (6.866676005579109e-09, 1), (6.306626443297603e-09, 1), (5.858266760583319e-09, 1), (5.8475996267404184e-09, 1), (7.50955397865738e-09, 1), (5.8599559649152866e-09, 1), (7.443152760799876e-09, 1), (7.445284389007156e-09, 1), (5.863117213955604e-09, 1), (0.6666666686202429, 1), (6.026674381764963e-09, 1), (5.858674434477962e-09, 1), (7.509554755813497e-09, 1)]",Mycolic Acid Biosynthesis,Mycolic Acid Condensation,,['Rv3800c'],chexccoa_c + 2.0 h2o_c + mkmeroacidcyc1AMP_c --> amp_c + co2_c + coa_c + 2.0 h_c + mkmycolate_c
FAMPL5,2.0630403571407836,0.15297736604973808,"[(5.8607235731145124e-09, 34), (5.863432406272295e-09, 7), (5.871499619836129e-09, 6), (3.1271651934616784e-12, 6), (5.860758989228998e-09, 6), (5.86075998842972e-09, 5), (6.866674451266874e-09, 4), (7.509556421148034e-09, 3), (1.0, 3), (8.088850367293787e-09, 3), (5.858646789924649e-09, 2), (5.862511365251066e-09, 2), (2.7248203693375217e-12, 2), (7.445969951724862e-09, 2), (5.862680008128507e-09, 2), (3.371636303484138e-12, 1), (5.863198815347914e-09, 1), (5.858223239840754e-09, 1), (2.7428059823364492e-12, 1), (7.509555643991916e-09, 1), (5.86333837038211e-09, 1), (7.445454808241436e-09, 1), (6.86673196081955e-09, 1), (8.090195957599633e-09, 1), (2.743583138453687e-12, 1), (5.858625584664878e-09, 1), (5.867216823496335e-09, 1), (5.862761831565422e-09, 1), (5.6600147901875175e-09, 1), (5.870834374199774e-09, 1), (5.860712026795056e-09, 1), (6.89794876773675e-09, 1), (5.863453611532066e-09, 1), (5.86072257391379e-09, 1), (7.662126821905701e-09, 1), (5.864823182655243e-09, 1), (5.863430629915456e-09, 1), (5.863197038991075e-09, 1), (0.0, 1), (5.858623808308039e-09, 1), (7.445968397412628e-09, 1), (6.866040180852906e-09, 1), (7.61141116800701e-09, 1), (5.860235963162097e-09, 1), (5.862585861216019e-09, 1), (7.4364487900879794e-09, 1), (5.862167640202642e-09, 1), (5.860554819214769e-09, 1), (5.860750995623221e-09, 1), (5.86200521457414e-09, 1), (7.681936753378693e-09, 1), (5.863454610732788e-09, 1), (6.834430021918081e-09, 1), (5.871471198126699e-09, 1), (5.860720020400834e-09, 1), (3.128164394183841e-12, 1), (7.611409169605565e-09, 1), (5.8715086126426286e-09, 1), (6.931930585096779e-09, 1), (5.847372364087278e-09, 1), (6.866664570281955e-09, 1), (6.867586388459301e-09, 1), (5.850200435197905e-09, 1), (7.510708388558385e-09, 1), (5.8434306282606485e-09, 1), (2.8032021148760577e-12, 1), (5.870684383069147e-09, 1), (5.863194374455816e-09, 1), (6.8666752284229915e-09, 1), (6.306626443297603e-09, 1), (5.858266760583319e-09, 1), (5.847598849584301e-09, 1), (7.509554755813497e-09, 1), (5.8599559649152866e-09, 1), (7.443150873420734e-09, 1), (7.4452851661632735e-09, 1), (5.863117213955604e-09, 1), (0.666666668620242, 1), (6.026674381764963e-09, 1), (5.858673546299542e-09, 1), (7.50955397865738e-09, 1)]",Mycolic Acid Biosynthesis,Fatty Acid Ligase AMP (mycolic acid),,['Rv3801c'],amp_c + h_c + mkmeroacidcyc1ACP_c --> ACP_c + mkmeroacidcyc1AMP_c
MYC1CYC5,2.063040357140774,0.15297736604973808,"[(5.86072257391379e-09, 34), (5.863432406272295e-09, 7), (5.871499619836129e-09, 6), (3.126388037344441e-12, 6), (5.86075998842972e-09, 5), (5.860758989228998e-09, 4), (7.509555643991916e-09, 3), (1.0, 3), (6.866674451266874e-09, 3), (8.088850367293787e-09, 3), (5.858646789924649e-09, 2), (2.724043213220284e-12, 2), (7.445969174568745e-09, 2), (5.86267923097239e-09, 2), (6.8666735630884546e-09, 2), (5.860757990028276e-09, 2), (7.50955397865738e-09, 2), (3.371636303484138e-12, 1), (5.863198038191797e-09, 1), (5.858222351662334e-09, 1), (2.7418067816142866e-12, 1), (7.509554755813497e-09, 1), (5.86333837038211e-09, 1), (7.445454808241436e-09, 1), (6.866731183663433e-09, 1), (8.090195957599633e-09, 1), (2.743583138453687e-12, 1), (5.858624807508761e-09, 1), (5.867216046340218e-09, 1), (5.862761831565422e-09, 1), (5.862510366050344e-09, 1), (5.660013790986795e-09, 1), (5.862511365251066e-09, 1), (5.8708335970436565e-09, 1), (5.860710916572032e-09, 1), (6.897947990580633e-09, 1), (5.8634528343759484e-09, 1), (5.860721574713068e-09, 1), (7.662125933727282e-09, 1), (5.864822405499126e-09, 1), (5.863430629915456e-09, 1), (5.863197038991075e-09, 1), (0.0, 1), (5.858622809107317e-09, 1), (7.445968397412628e-09, 1), (6.866039181652184e-09, 1), (7.611409169605565e-09, 1), (5.860235963162097e-09, 1), (5.862585195082204e-09, 1), (7.436448012931862e-09, 1), (5.862167640202642e-09, 1), (5.860554819214769e-09, 1), (5.860750995623221e-09, 1), (5.8620042153734175e-09, 1), (7.681936753378693e-09, 1), (5.863453611532066e-09, 1), (6.834429022717359e-09, 1), (5.871471198126699e-09, 1), (5.860718021999389e-09, 1), (3.1271651934616784e-12, 1), (7.611408392449448e-09, 1), (5.8715086126426286e-09, 1), (6.931929585896057e-09, 1), (5.8473715869311604e-09, 1), (6.866663571081233e-09, 1), (6.867585611303184e-09, 1), (5.850199435997183e-09, 1), (7.510708388558385e-09, 1), (5.843429629059926e-09, 1), (2.8032021148760577e-12, 1), (5.87068360591303e-09, 1), (5.863194374455816e-09, 1), (6.306626443297603e-09, 1), (5.85826498422648e-09, 1), (5.847598849584301e-09, 1), (5.8599559649152866e-09, 1), (7.443150873420734e-09, 1), (7.445284389007156e-09, 1), (5.863117213955604e-09, 1), (0.666666668620242, 1), (6.0266733825642405e-09, 1), (5.858673546299542e-09, 1)]",Mycolic Acid Biosynthesis,Mycolic Acid Cyclopropanation,,['Rv0644c'],amet_c + mkmeroacidACP_c --> ahcys_c + h_c + mkmeroacidcyc1ACP_c
IPPMIa,2.0630403571363294,0.15297736605017903,"[(0.9999999941380304, 34), (0.9999999941380011, 7), (0.999999994137994, 6), (0.9999999941353197, 5), (0.9999999924891982, 4), (0.9999999999956266, 4), (0.9999999941379922, 3), (0.0, 3), (0.9999999999956257, 3), (0.9999999925527838, 3), (0.9999999941379949, 3), (0.9999999941362425, 2), (0.9999999941353224, 2), (0.9999999931320795, 2), (0.9999999941360729, 2), (0.9999999999953815, 1), (0.9999999941355551, 1), (0.9999999941405306, 1), (0.9999999999960112, 1), (0.9999999924891991, 1), (0.9999999941354165, 1), (0.9999999925532972, 1), (0.9999999931320218, 1), (0.9999999919085569, 1), (0.9999999999960103, 1), (0.9999999941401283, 1), (0.999999994140107, 1), (0.999999994131537, 1), (0.999999994135992, 1), (0.9999999943387383, 1), (0.9999999941388245, 1), (0.9999999941380411, 1), (0.999999993100805, 1), (1.0, 1), (0.9999999999960298, 1), (0.9999999941353002, 1), (0.9999999941380286, 1), (0.9999999941380313, 1), (0.999999992336627, 1), (0.9999999941339288, 1), (0.9999999941355568, 1), (0.999999999998753, 1), (0.9999999941401301, 1), (0.9999999931327137, 1), (0.9999999923873641, 1), (0.9999999919099034, 1), (0.9999999941401061, 1), (0.9999999941385171, 1), (0.9999999941361697, 1), (0.9999999925623051, 1), (0.9999999941365854, 1), (0.9999999941382001, 1), (0.9999999941367497, 1), (0.999999992316817, 1), (0.9999999941352993, 1), (0.999999993164324, 1), (0.999999994138034, 1), (0.9999999923873446, 1), (0.9999999930668233, 1), (0.9999999941513815, 1), (0.9999999931320787, 1), (0.9999999941354085, 1), (0.9999999931320875, 1), (0.9999999931311674, 1), (0.9999999941485536, 1), (0.9999999924880427, 1), (0.9999999919099025, 1), (0.9999999941553215, 1), (0.9999999931320813, 1), (0.9999999999959508, 1), (0.99999999413882, 1), (0.9999999941355586, 1), (0.9999999931320778, 1), (0.9999999936921276, 1), (0.999999994140488, 1), (0.999999994151155, 1), (0.9999999919112215, 1), (0.9999999941387978, 1), (0.9999999925556011, 1), (0.9999999925534686, 1), (0.9999999941356368, 1), (0.3333333313793432, 1), (0.9999999939720778, 1), (0.9999999941400795, 1), (0.9999999924892, 1)]","Valine, Leucine, and Isoleucine Metabolism",3-isopropylmalate dehydratase,,"['Rv2988c', 'Rv2987c']",3c2hmp_c <=> 2ippm_c + h2o_c
LEUTA,2.063040357136057,0.15297736605020296,"[(0.999999994137438, 35), (0.9999999941374016, 8), (0.9999999941374096, 7), (0.9999999924886058, 6), (0.9999999941347264, 5), (0.9999999941374007, 4), (0.9999999999950351, 4), (0.0, 3), (0.9999999999950333, 3), (0.9999999925521914, 3), (0.9999999941395137, 2), (0.9999999931314862, 2), (0.9999999919093101, 2), (0.999999993131488, 2), (0.9999999999947891, 1), (0.9999999941349627, 1), (0.9999999941399373, 1), (0.9999999999954188, 1), (0.9999999941348223, 1), (0.9999999925527048, 1), (0.9999999931314294, 1), (0.9999999919079636, 1), (0.999999999995417, 1), (0.9999999941395359, 1), (0.9999999941309445, 1), (0.9999999941353988, 1), (0.9999999941356501, 1), (0.9999999943381459, 1), (0.9999999941356492, 1), (0.9999999941379274, 1), (0.9999999941374478, 1), (0.9999999931002117, 1), (1.0, 1), (0.9999999999954374, 1), (0.9999999941347086, 1), (0.9999999941374362, 1), (0.9999999923360336, 1), (0.9999999941333373, 1), (0.99999999413473, 1), (0.9999999941349635, 1), (0.9999999999981615, 1), (0.9999999941395377, 1), (0.9999999931321204, 1), (0.9999999923867708, 1), (0.9999999941354814, 1), (0.9999999941379247, 1), (0.9999999941355755, 1), (0.9999999925617127, 1), (0.999999994135992, 1), (0.9999999941376059, 1), (0.9999999941361555, 1), (0.9999999923162246, 1), (0.999999994134706, 1), (0.9999999941354805, 1), (0.9999999931637307, 1), (0.9999999941374416, 1), (0.9999999923867522, 1), (0.9999999930662309, 1), (0.9999999941507891, 1), (0.9999999941348161, 1), (0.9999999931314969, 1), (0.999999993130575, 1), (0.9999999941479611, 1), (0.9999999924874503, 1), (0.99999999415473, 1), (0.9999999999953575, 1), (0.9999999941382258, 1), (0.9999999941349662, 1), (0.9999999931314854, 1), (0.9999999936915351, 1), (0.9999999941347282, 1), (0.9999999941398947, 1), (0.9999999941505617, 1), (0.999999991910629, 1), (0.9999999941382054, 1), (0.9999999925550087, 1), (0.9999999925528762, 1), (0.9999999941350444, 1), (0.3333333313791451, 1), (0.9999999939714854, 1), (0.9999999941394879, 1)]","Valine, Leucine, and Isoleucine Metabolism",Leucine transaminase,,['Rv2210c'],akg_c + leu__L_c <=> 4mop_c + glu__L_c
OMCDC,2.0630403571360185,0.15297736605020432,"[(5.862562102443292e-09, 35), (5.862598406736197e-09, 8), (5.86259041313042e-09, 7), (7.511394173320696e-09, 6), (5.865273600136334e-09, 5), (5.862599183892314e-09, 4), (4.9648063438212375e-12, 4), (1.0, 3), (4.966804745265563e-12, 3), (7.447808592075944e-09, 3), (5.8604864294764525e-09, 2), (6.868513757751771e-09, 2), (8.090690006845591e-09, 2), (6.868511981394931e-09, 2), (5.210831766078172e-12, 1), (5.865037233654391e-09, 1), (5.8600627683702555e-09, 1), (4.581224288813246e-12, 1), (5.865177565844704e-09, 1), (7.447295224949357e-09, 1), (6.8685706011706316e-09, 1), (8.092036374307554e-09, 1), (4.583000645652646e-12, 1), (5.860464002971355e-09, 1), (5.869055574869719e-09, 1), (5.864601249072621e-09, 1), (5.864350005602148e-09, 1), (5.6618539856501116e-09, 1), (5.864350782758265e-09, 1), (5.86201920338425e-09, 1), (5.8625522214583725e-09, 1), (6.899788407288554e-09, 1), (0.0, 1), (4.562572541999543e-12, 1), (5.865291363704728e-09, 1), (5.862563767777829e-09, 1), (7.663966350435203e-09, 1), (5.866663599363164e-09, 1), (5.865270047422655e-09, 1), (5.865036345475971e-09, 1), (1.8384183064767967e-12, 1), (5.8604624486591206e-09, 1), (6.867879598360105e-09, 1), (7.613229158209833e-09, 1), (5.864518648479589e-09, 1), (5.862075158624691e-09, 1), (5.864424390544798e-09, 1), (7.438287208394456e-09, 1), (5.864007168732144e-09, 1), (5.8623940146773634e-09, 1), (5.863844410036734e-09, 1), (7.683775393729775e-09, 1), (5.865294028239987e-09, 1), (5.864519647680311e-09, 1), (6.836269217380675e-09, 1), (5.8625584387073104e-09, 1), (7.613247809956647e-09, 1), (6.933768226247139e-09, 1), (5.8492107823937545e-09, 1), (5.8651840051382464e-09, 1), (6.868504764945271e-09, 1), (6.869424029609661e-09, 1), (5.852038853504382e-09, 1), (7.512549582422423e-09, 1), (5.8452700457678475e-09, 1), (4.642397577470092e-12, 1), (5.861773177961993e-09, 1), (5.865033791963015e-09, 1), (6.868515645130913e-09, 1), (6.308464750581777e-09, 1), (5.865271823779494e-09, 1), (5.860105178889796e-09, 1), (5.849438378113803e-09, 1), (8.089371061892336e-09, 1), (5.861794605266368e-09, 1), (7.444991179106353e-09, 1), (7.447123806514355e-09, 1), (5.864955632262081e-09, 1), (0.6666666686208549, 1), (6.028514576428279e-09, 1), (5.860511964606019e-09, 1)]","Valine, Leucine, and Isoleucine Metabolism",2-Oxo-4-methyl-3-carboxypentanoate decarboxylation,,[],3c4mop_c + h_c --> 4mop_c + co2_c
IPPMIb,2.0630403571349802,0.15297736605030948,"[(0.9999999941380304, 34), (0.9999999941380011, 7), (0.9999999941353197, 5), (0.9999999941379949, 5), (0.9999999941379931, 5), (0.9999999999956266, 4), (0.9999999924891982, 3), (0.0, 3), (0.9999999999956257, 3), (0.9999999925527838, 3), (0.9999999941379922, 2), (0.9999999924891991, 2), (0.9999999941362434, 2), (0.9999999941353224, 2), (0.9999999931320804, 2), (0.9999999941360738, 2), (0.9999999999953815, 1), (0.9999999941355551, 1), (0.9999999941405298, 1), (0.9999999999960112, 1), (0.9999999941354156, 1), (0.9999999925532972, 1), (0.9999999931320209, 1), (0.9999999919085569, 1), (0.9999999999960103, 1), (0.9999999941401283, 1), (0.999999994140107, 1), (0.999999994131537, 1), (0.9999999941359912, 1), (0.9999999943387383, 1), (0.9999999941388298, 1), (0.9999999941380411, 1), (0.999999993100805, 1), (1.0, 1), (0.9999999999960298, 1), (0.9999999941352993, 1), (0.9999999941380286, 1), (0.9999999941380313, 1), (0.999999992336627, 1), (0.9999999941339288, 1), (0.9999999941355568, 1), (0.9999999999987539, 1), (0.9999999941401301, 1), (0.9999999931327137, 1), (0.9999999923873641, 1), (0.9999999919099034, 1), (0.9999999941401061, 1), (0.9999999941385171, 1), (0.9999999941361697, 1), (0.999999992562306, 1), (0.9999999941365854, 1), (0.9999999941381992, 1), (0.9999999941367497, 1), (0.999999992316817, 1), (0.9999999941352984, 1), (0.999999993164324, 1), (0.9999999941380349, 1), (0.9999999923873455, 1), (0.9999999930668224, 1), (0.9999999941513815, 1), (0.9999999931320787, 1), (0.9999999941354085, 1), (0.9999999931320884, 1), (0.9999999931311674, 1), (0.9999999941485527, 1), (0.9999999924880427, 1), (0.9999999919099016, 1), (0.9999999941553215, 1), (0.9999999931320813, 1), (0.9999999999959508, 1), (0.99999999413882, 1), (0.9999999941355586, 1), (0.9999999931320769, 1), (0.9999999936921267, 1), (0.999999994140488, 1), (0.999999994151155, 1), (0.9999999919112215, 1), (0.9999999941387987, 1), (0.9999999925556011, 1), (0.9999999925534677, 1), (0.9999999941356377, 1), (0.3333333313793423, 1), (0.9999999939720778, 1), (0.9999999941400803, 1), (0.9999999924892, 1)]","Valine, Leucine, and Isoleucine Metabolism",2-isopropylmalate hydratase,,"['Rv2988c', 'Rv2987c']",2ippm_c + h2o_c <=> 3c3hmp_c
IPMD,2.0630403571347364,0.1529773660503368,"[(5.861969576415049e-09, 34), (5.861997887102177e-09, 7), (5.862005991730257e-09, 6), (7.510801758314756e-09, 5), (5.864681185130394e-09, 5), (4.372391337881254e-12, 4), (5.862006768886374e-09, 3), (1.0, 3), (4.374389739325579e-12, 3), (7.447216177070004e-09, 3), (5.86200521457414e-09, 3), (5.864444041492334e-09, 2), (5.8598940144705125e-09, 2), (5.863757590596208e-09, 2), (6.867919566388991e-09, 2), (4.617639604020951e-12, 1), (5.859470242342013e-09, 1), (3.9888092828732624e-12, 1), (5.864584373682646e-09, 1), (7.446702809943417e-09, 1), (6.8679781861646916e-09, 1), (8.091443182145497e-09, 1), (3.9895864389905e-12, 1), (5.859871587965415e-09, 1), (5.868463048841477e-09, 1), (5.864007945888261e-09, 1), (5.6612615706441716e-09, 1), (5.86142678837831e-09, 1), (5.8619598064524325e-09, 1), (6.899195992282614e-09, 1), (0.0, 1), (3.97015753605956e-12, 1), (5.86469905972109e-09, 1), (5.861971352771889e-09, 1), (5.861968799258932e-09, 1), (7.663374046451565e-09, 1), (5.866071184357224e-09, 1), (5.864677632416715e-09, 1), (1.2460033005368132e-12, 1), (5.859870033653181e-09, 1), (6.8672854069973255e-09, 1), (7.612635966047776e-09, 1), (8.090096592638929e-09, 1), (5.863926233473649e-09, 1), (5.8614828546410536e-09, 1), (5.8638304212266235e-09, 1), (7.437694793388516e-09, 1), (5.863414642703901e-09, 1), (5.861800045359189e-09, 1), (5.863250440718559e-09, 1), (7.683182978723835e-09, 1), (5.864701613234047e-09, 1), (5.863927232674371e-09, 1), (6.835676802374735e-09, 1), (5.8619660237013704e-09, 1), (7.612655394950707e-09, 1), (6.933175811241199e-09, 1), (5.8486183673878145e-09, 1), (6.867920454567411e-09, 1), (5.8645915901323065e-09, 1), (6.867911572783214e-09, 1), (6.868831614603721e-09, 1), (5.851446438498442e-09, 1), (7.511957167416483e-09, 1), (8.090097591839651e-09, 1), (5.8446776307619075e-09, 1), (6.867918789232874e-09, 1), (4.0499825715301085e-12, 1), (5.861180762956053e-09, 1), (5.864441376957075e-09, 1), (6.867923230124973e-09, 1), (6.3078724465981395e-09, 1), (5.864678409572832e-09, 1), (5.8595120977500414e-09, 1), (5.848845963107863e-09, 1), (8.088778424841792e-09, 1), (5.861202190260428e-09, 1), (7.444398764100413e-09, 1), (7.446531391508415e-09, 1), (5.864363217256141e-09, 1), (0.6666666686206577, 1), (6.027921162221617e-09, 1), (5.859919549600079e-09, 1), (7.510800092980219e-09, 1)]","Valine, Leucine, and Isoleucine Metabolism",3-isopropylmalate dehydrogenase,,['Rv2995c'],3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c
MYC1CYC1,2.0630403571345313,0.1529773660503543,"[(5.8607235731145124e-09, 33), (5.8671060232384775e-09, 6), (5.863432406272295e-09, 6), (5.860758989228998e-09, 6), (5.86075998842972e-09, 4), (7.50955397865738e-09, 4), (3.1256108812272032e-12, 4), (1.0, 3), (8.088852365695232e-09, 3), (6.8666735630884546e-09, 3), (5.858646012768531e-09, 2), (2.723155034800584e-12, 2), (5.863453611532066e-09, 2), (3.1246116805050406e-12, 2), (7.445969951724862e-09, 2), (3.3706371027619753e-12, 1), (5.863198815347914e-09, 1), (5.858221574506217e-09, 1), (2.7428059823364492e-12, 1), (5.86333837038211e-09, 1), (7.445455807442158e-09, 1), (6.866729407306593e-09, 1), (5.8634331834284126e-09, 1), (8.090195957599633e-09, 1), (2.743583138453687e-12, 1), (5.858623808308039e-09, 1), (5.867217822697057e-09, 1), (5.862761831565422e-09, 1), (5.862509588894227e-09, 1), (5.660016344499752e-09, 1), (5.862510366050344e-09, 1), (5.867283547900115e-09, 1), (5.860712026795056e-09, 1), (6.897947990580633e-09, 1), (5.86072257391379e-09, 1), (5.860721574713068e-09, 1), (7.662127821106424e-09, 1), (5.864822405499126e-09, 1), (5.863430629915456e-09, 1), (5.863197038991075e-09, 1), (6.866672563887732e-09, 1), (0.0, 1), (5.8586220319511995e-09, 1), (7.445969174568745e-09, 1), (6.866040180852906e-09, 1), (7.611410168806287e-09, 1), (5.862680008128507e-09, 1), (5.860235963162097e-09, 1), (5.862585195082204e-09, 1), (7.436448012931862e-09, 1), (5.862167640202642e-09, 1), (5.860553820014047e-09, 1), (5.8607499964224985e-09, 1), (5.862005991730257e-09, 1), (7.681935865200273e-09, 1), (5.86267923097239e-09, 1), (6.8344280235166366e-09, 1), (5.867079155841282e-09, 1), (5.860719132222414e-09, 1), (5.860757990028276e-09, 1), (7.611411945163127e-09, 1), (5.867114794000372e-09, 1), (6.931930585096779e-09, 1), (5.847370587730438e-09, 1), (6.866664570281955e-09, 1), (6.867584834147067e-09, 1), (5.850199435997183e-09, 1), (7.510709387759107e-09, 1), (5.8434306282606485e-09, 1), (2.8032021148760577e-12, 1), (5.86629056442689e-09, 1), (5.863194374455816e-09, 1), (6.866676005579109e-09, 1), (6.306626443297603e-09, 1), (5.85826498422648e-09, 1), (5.847598849584301e-09, 1), (7.509554755813497e-09, 1), (3.126388037344441e-12, 1), (5.859957075138311e-09, 1), (7.443150873420734e-09, 1), (7.445283611851039e-09, 1), (5.863117213955604e-09, 1), (0.666666668620242, 1), (6.02667515892108e-09, 1), (5.8586707707419805e-09, 1), (7.509556421148034e-09, 1)]",Mycolic Acid Biosynthesis,MYC1CYC1,,['Rv0470c'],amet_c + meroacidACP_c --> ahcys_c + h_c + meroacidcyc1ACP_c
MYC2CYC1,2.06304035713442,0.15297736605036552,"[(5.8607235731145124e-09, 33), (5.867106800394595e-09, 6), (5.8634331834284126e-09, 6), (5.860758989228998e-09, 6), (5.86075998842972e-09, 4), (7.50955397865738e-09, 4), (6.8666735630884546e-09, 4), (1.0, 3), (3.126388037344441e-12, 3), (8.088852365695232e-09, 3), (5.858646012768531e-09, 2), (5.862510366050344e-09, 2), (2.723155034800584e-12, 2), (5.863453611532066e-09, 2), (3.1246116805050406e-12, 2), (7.4459709509255845e-09, 2), (3.371636303484138e-12, 1), (5.8631995925040314e-09, 1), (5.858221574506217e-09, 1), (2.7428059823364492e-12, 1), (5.86333837038211e-09, 1), (7.445455807442158e-09, 1), (6.866731183663433e-09, 1), (5.863434182629135e-09, 1), (8.090195957599633e-09, 1), (2.743583138453687e-12, 1), (5.858624807508761e-09, 1), (5.867216823496335e-09, 1), (5.862761831565422e-09, 1), (5.660016344499752e-09, 1), (5.86718684747467e-09, 1), (5.8607128039511736e-09, 1), (6.89794876773675e-09, 1), (5.86072257391379e-09, 1), (5.860721574713068e-09, 1), (7.662127821106424e-09, 1), (5.864822405499126e-09, 1), (5.863430629915456e-09, 1), (5.863198038191797e-09, 1), (0.0, 1), (5.8586220319511995e-09, 1), (7.445969951724862e-09, 1), (6.866041180053628e-09, 1), (7.61141116800701e-09, 1), (5.862680008128507e-09, 1), (5.860236851340517e-09, 1), (5.862585861216019e-09, 1), (7.4364487900879794e-09, 1), (5.862167640202642e-09, 1), (5.860553820014047e-09, 1), (5.860750995623221e-09, 1), (5.862005991730257e-09, 1), (7.681935865200273e-09, 1), (5.86267923097239e-09, 1), (6.834429022717359e-09, 1), (5.867079155841282e-09, 1), (5.860720020400834e-09, 1), (3.1256108812272032e-12, 1), (5.860757990028276e-09, 1), (7.611412833341547e-09, 1), (5.867114794000372e-09, 1), (6.931929585896057e-09, 1), (5.8473715869311604e-09, 1), (6.866664570281955e-09, 1), (6.867586388459301e-09, 1), (5.850200435197905e-09, 1), (7.510709387759107e-09, 1), (5.843431627461371e-09, 1), (2.8032021148760577e-12, 1), (5.866289565226168e-09, 1), (5.863194374455816e-09, 1), (6.866677004779831e-09, 1), (6.306626443297603e-09, 1), (5.85826498422648e-09, 1), (5.847598849584301e-09, 1), (7.509554755813497e-09, 1), (3.1271651934616784e-12, 1), (5.859957075138311e-09, 1), (7.443151983643759e-09, 1), (7.445283611851039e-09, 1), (5.863117213955604e-09, 1), (0.6666666686202412, 1), (6.026676824255617e-09, 1), (5.858671769942703e-09, 1), (7.509556421148034e-09, 1)]",Mycolic Acid Biosynthesis,MYC2CYC1,,['Rv0644c'],amet_c + meroacidcyc1ACP_c --> ahcys_c + h_c + meroacidcyc2ACP_c
